objectid,title,creator,date,description,subject,location,source,identifier,type,format,language,rights,rightsstatement,display_template,filename,object_location,image_small,image_thumb
cda_tpa1910,Coeur d'Alene Timber Protective Association Fifth Annual Report,Coeur d'Alene Timber Protective Association,1910,"Annual report provides messages from the association officers, summary of the fire season and efforts, and details about budget and expenditures.",,"Coeur d'Alene, Idaho","Day - NW Collection, Special Collections and Archives, University of Idaho Library, https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma995978901851",Day-NW SD421.C64a,Text,application/pdf,en,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,cda_tpa1910.pdf,https://www.lib.uidaho.edu/digital/objects/tpa/cda_tpa1910.pdf,https://www.lib.uidaho.edu/digital/objects/tpa/small/cda_tpa1910_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tpa/thumbs/cda_tpa1910_th.jpg
cda_tpa1914,Coeur d'Alene Timber Protective Association Ninth Annual Report,Coeur d'Alene Timber Protective Association,1914,"Annual report provides messages from the association officers, summary of the fire season and efforts, and details about budget and expenditures.",,"Coeur d'Alene, Idaho","Day - NW Collection, Special Collections and Archives, University of Idaho Library, https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma995978901852",Day-NW SD421.C64a,Text,application/pdf,en,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,cda_tpa1914.pdf,https://www.lib.uidaho.edu/digital/objects/tpa/cda_tpa1914.pdf,https://www.lib.uidaho.edu/digital/objects/tpa/small/cda_tpa1914_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tpa/thumbs/cda_tpa1914_th.jpg
cda_tpa1915,Coeur d'Alene Timber Protective Association Tenth Annual Report,Coeur d'Alene Timber Protective Association,1915,"Annual report provides messages from the association officers, summary of the fire season and efforts, and details about budget and expenditures.",,"Coeur d'Alene, Idaho","Day - NW Collection, Special Collections and Archives, University of Idaho Library, https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma995978901853",Day-NW SD421.C64a,Text,application/pdf,en,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,cda_tpa1915.pdf,https://www.lib.uidaho.edu/digital/objects/tpa/cda_tpa1915.pdf,https://www.lib.uidaho.edu/digital/objects/tpa/small/cda_tpa1915_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tpa/thumbs/cda_tpa1915_th.jpg
cda_tpa1918,Coeur d'Alene Timber Protective Association Thirteenth Annual Report,Coeur d'Alene Timber Protective Association,1918,"Annual report provides messages from the association officers, summary of the fire season and efforts, and details about budget and expenditures.",,"Coeur d'Alene, Idaho","Day - NW Collection, Special Collections and Archives, University of Idaho Library, https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma995978901854",Day-NW SD421.C64a,Text,application/pdf,en,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,cda_tpa1918.pdf,https://www.lib.uidaho.edu/digital/objects/tpa/cda_tpa1918.pdf,https://www.lib.uidaho.edu/digital/objects/tpa/small/cda_tpa1918_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tpa/thumbs/cda_tpa1918_th.jpg
cda_tpa1919,Coeur d'Alene Timber Protective Association Fourteenth Annual Report,Coeur d'Alene Timber Protective Association,1919,"Annual report provides messages from the association officers, summary of the fire season and efforts, and details about budget and expenditures.",,"Coeur d'Alene, Idaho","Day - NW Collection, Special Collections and Archives, University of Idaho Library, https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma995978901855",Day-NW SD421.C64a,Text,application/pdf,en,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,cda_tpa1919.pdf,https://www.lib.uidaho.edu/digital/objects/tpa/cda_tpa1919.pdf,https://www.lib.uidaho.edu/digital/objects/tpa/small/cda_tpa1919_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tpa/thumbs/cda_tpa1919_th.jpg
cda_tpa1922,Coeur d'Alene Timber Protective Association Seventeenth Annual Report,Coeur d'Alene Timber Protective Association,1922,"Annual report provides messages from the association officers, summary of the fire season and efforts, and details about budget and expenditures.",,"Coeur d'Alene, Idaho","Day - NW Collection, Special Collections and Archives, University of Idaho Library, https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma995978901856",Day-NW SD421.C64a,Text,application/pdf,en,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,cda_tpa1922.pdf,https://www.lib.uidaho.edu/digital/objects/tpa/cda_tpa1922.pdf,https://www.lib.uidaho.edu/digital/objects/tpa/small/cda_tpa1922_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tpa/thumbs/cda_tpa1922_th.jpg
pdo_tpa1918,Pend d'Oreille Timber Protective Association Annual Report,Pend d'Oreille Timber Protective Association,1918,"Annual report provides messages from the association officers, summary of the fire season and efforts, and details about budget and expenditures.",,"Sandpoint, Idaho","Day - NW Collection, Special Collections and Archives, University of Idaho Library, https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma995978901857",Day-NW SD421.P45,Text,application/pdf,en,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,pdo_tpa1918.pdf,https://www.lib.uidaho.edu/digital/objects/tpa/pdo_tpa1918.pdf,https://www.lib.uidaho.edu/digital/objects/tpa/small/pdo_tpa1918_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tpa/thumbs/pdo_tpa1918_th.jpg
pdo_tpa1920,Thirteenth Annual Report of the Pend d'Oreille Timber Protective Association,Pend d'Oreille Timber Protective Association,1920,"Annual report provides messages from the association officers, summary of the fire season and efforts, and details about budget and expenditures.",,"Sandpoint, Idaho","Day - NW Collection, Special Collections and Archives, University of Idaho Library, https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma995978901858",Day-NW SD421.P46,Text,application/pdf,en,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,pdo_tpa1920.pdf,https://www.lib.uidaho.edu/digital/objects/tpa/pdo_tpa1920.pdf,https://www.lib.uidaho.edu/digital/objects/tpa/small/pdo_tpa1920_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tpa/thumbs/pdo_tpa1920_th.jpg
pdo_tpa1922,Fifteenth Annual Report of the Pend d'Oreille Timber Protective Association,Pend d'Oreille Timber Protective Association,1922,"Annual report provides messages from the association officers, summary of the fire season and efforts, and details about budget and expenditures.",,"Sandpoint, Idaho","Day - NW Collection, Special Collections and Archives, University of Idaho Library, https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma995978901859",Day-NW SD421.P47,Text,application/pdf,en,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,pdo_tpa1922.pdf,https://www.lib.uidaho.edu/digital/objects/tpa/pdo_tpa1922.pdf,https://www.lib.uidaho.edu/digital/objects/tpa/small/pdo_tpa1922_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tpa/thumbs/pdo_tpa1922_th.jpg
