objectid,title,artist,date,description,building,floorroom,location,formatoriginal,dimensions,type,format,value,donor,condition,number,old_objectid,filename,Missing?,display_template,object_location,image_small,image_thumb
campusart034,"Brickaville, ID",Ann Driscoll,,Painting of three brown buildings on a hillside. Trees line the background. A horse-drawn carriage is depicted between two of the buildings.,Library,special collections rm 004C pillar #5,Library special collections rm 004C pillar #5,oil on canvas,"15"" x 21""",image;stillimage,image/jpg,,Ann Driscoll,,60,112598,112598.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/112598.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/112598_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/112598_th.jpg
campusart035,"Taney, ID",Ann Driscoll,,Two individually framed paintings of white houses framed together in a larger brown frame with yellow matting.,Library,special collections rm 004C pillar #5,Library special collections rm 004C pillar #5,oil on canvas,"32"" x 22.5""",image;stillimage,image/jpg,,,,53,112599,112599.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/112599.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/112599_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/112599_th.jpg
campusart036,"Andersonville, ID",Ann Driscoll,,Painting of brown buildings alongside roads with trees in the background.,Library,special collections rm 004C pillar #5,Library special collections rm 004C pillar #5,oil on canvas,"29"" x 34""",image;stillimage,image/jpg,,,,61,112600,112600.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/112600.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/112600_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/112600_th.jpg
campusart037,Martin Farm by Jo Mulalley,Jo Mulalley,1982,Painting of Martin Farm East of Cottonwood. It depicts two buildings and the farm on a yellow field. This piece is framed in a wood frame.,Admin-Martin Institute,rm 338A,Admin-Martin Institute rm 338A,oil on canvas,"29"" x 42""",image;stillimage,image/jpg,500,Purchased 2/83,good,108,114099,114099.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/114099.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/114099_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/114099_th.jpg
campusart038,"Untitled ""Eagle""",George Roberts,1987,Metal sculpture of an eagle.,Library,rm 101,Library rm 101,sculpture,"31"" x 70"" x 5""",image;stillimage,image/jpg,"1,200",Library Associates,good,1,140855,140855.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/140855.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/140855_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/140855_th.jpg
campusart039,Candy Apple Chopper,Robert Auth,,"Painting of a colorful motorcycle in bright blue, yellow, red, and purple set against a bright background in the same colors.",Prichard Gallery,Permanent Collection,Prichard Gallery Permanent Collection,acrylic/airbrush on Canvas,"36.75"" x 24.5"" x 1.75""",image;stillimage,image/jpg,"2,000",Peggy Pletcher,good,21,142006,142006.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/142006.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/142006_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/142006_th.jpg
campusart040,"Anita Louise (actress, Hollywood,Ca.)",Pierre Tartoue,1934,"Painting of Anita Louise posing in light blue dress leaning against a gray rock. Louise holds a rose in her left hand and a decorative blue fabric in her right arm. The background is a hilly green, red, and blue landscape. This piece is displayed in a decorative gilt wood frame and signed ""P. Taroue 1934.""",Prichard Gallery,Permanent Collection,Prichard Gallery Permanent Collection,oil on canvas,"53.5"" x 40""",image;stillimage,image/jpg,"4,985",Cassie E. Tartoue/1972,some buckling in the corners,94,142215blue_OLD_TAG_112508,142215blue_OLD_TAG_112508.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/142215blue_OLD_TAG_112508.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/142215blue_old_tag_112508_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/142215blue_old_tag_112508_th.jpg
campusart041,Indian paintbrush and arnica(wildflower series),Don Bemco Bennett,1977,Painting of Indian paintbrush and arnia displayed with a green oval mat and gilt wood frame. #274 of 950.,Prichard Gallery,Permanent Collection,Prichard Gallery Permanent Collection,print,"21.25"" x 17"" framed",image;stillimage,image/jpg,250,Peggy Pletcher,good,35,149745,149745.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/149745.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/149745_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/149745_th.jpg
campusart042,Daisies and elephantella (wildflower series),Don Bemco Bennett,1977,Painting of daisies and elephantella displayed in a green oval mat and gilt wood frame. #274/950.,Prichard Gallery,Permanent Collection,Prichard Gallery Permanent Collection,print,"21"" x 17"" framed",image;stillimage,image/jpg,250,Peggy Pletcher,good,96,149746,149746.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/149746.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/149746_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/149746_th.jpg
campusart043,Camas and shooting star(wildflower series),Don Bemco Bennett,1977,Painting of camas and shooting star wildflowers displayed in a gilt wood frame and on green oval mat.,Prichard Gallery,Permanent Collection,Prichard Gallery Permanent Collection,print,"21.25"" x 17"" framed",image;stillimage,image/jpg,250,Peggy Pletcher,good,34,149747,149747.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/149747.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/149747_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/149747_th.jpg
campusart044,Scarlet gilia and sego lilies,Don Bemco Bennett,1977,Painting of Scarlet Gilia and Sego Lilies displayed in a gilt wood frame and on a green oval mat. #274 of 950.,Prichard Gallery,Permanent Collection,Prichard Gallery Permanent Collection,print,"21.25"" x 17"" framed, 15"" x 19"" print",image;stillimage,image/jpg,250,Peggy Pletcher,good,95,149748,149748.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/149748.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/149748_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/149748_th.jpg
campusart045,Untitled by Duane Schnabel,Duane Schnabel,1990,"Encaustic painting on board depicting an abstracted face with one eye in the center with a blue border. ""Schnabel"" is signed in the center.",Prichard Gallery,Permanent Collection,Prichard Gallery Permanent Collection,encaustic on board,"25.75"" x 15.5""",image;stillimage,image/jpg,"1,500",Kally Thurman,surface cracking,93,151054,151054.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/151054.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/151054_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/151054_th.jpg
campusart046,Creek/Moscow-Pullman Airport,Freeman Butts,1991,Landscape painting depicting a river and two buildings and hills in the background.,Prichard Gallery,Permanent Collection,Prichard Gallery Permanent Collection,acrylic on canvas,"50"" x 42""",image;stillimage,image/jpg,"1,500",Daisy Butts,,22,151055,151055.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/151055.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/151055_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/151055_th.jpg
campusart047,Ashby,Roi Partridge,1923,Etching print depicting trees by a body of water. It is printed on buff paper. It is displayed on an off white mat and in a silver frame.,Prichard Gallery,,Prichard Gallery,etching,"16.25"" x 20.25"" framed",image;stillimage,image/jpg,300-600 appraised by Ray Esparsen 10/10/98,Dorris E. Givan,good,66,151570blue,151570blue.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/151570blue.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/151570blue_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/151570blue_th.jpg
campusart048,Hibiscus,Roi Partridge,1937-08-20,"Etching print depicting hibiscus flowers. The print is displayed in an off-white mat and silver frame. Printed on buff paper. Inscribed with the caption ""to my old friend Dorris Perkins"" given 12/25/37.",Prichard Gallery,Permanent Collection,Prichard Gallery Permanent Collection,etching,"20.25"" x 16.25"" framed",image;stillimage,image/jpg,200-400 appraised by Ray Esparsen 10/10/98,Dorris E. Givan,"buff paper, off-white mat, silver frame,glazed",43,151571blue,151571blue.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/151571blue.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/151571blue_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/151571blue_th.jpg
campusart049,Juniper,Roi Partridge,1933,Etching print depicting a juniper tree printed on buff paper. It is displayed on an off white mat and in a silver frame.,Prichard Gallery,Permanent Collection,Prichard Gallery Permanent Collection,etching,"20.25"" x 16.25"" framed",image;stillimage,image/jpg,300-600 appraised by Ray Esparsen 10/10/98,Dorris E. Givan,good,65,151572blue,151572blue.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/151572blue.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/151572blue_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/151572blue_th.jpg
campusart050,(rock outcropping),Roi Partridge,1933,Etching print depicting a rock outcropping printed on buff paper and displayed on an off white mat and in a silver frame.,General Counsel,rm 127,General Counsel rm 127,etching,"20.25"" x 16.25"" framed",image;stillimage,image/jpg,200-400 appraised by Ray Esparsen 10.10.98,Dorris E. Givan/1992,brown stain on paper,44,151573blue,151573blue.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/151573blue.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/151573blue_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/151573blue_th.jpg
campusart051,Untitled (with figure),Roi Partridge,1929,Etching print depicting a landscape of mountains in the background and a figure laying on a rock formation with trees in the foreground. It is printed on buff paper and displayed on an off white mat and in a silver frame.,Prichard Gallery,Permanent Collection,Prichard Gallery Permanent Collection,etching,"20.25"" x 16.25"" framed, 3.75"" x 4.5"" unframed",image;stillimage,image/jpg,500,Dorris E. Givan,"excellent, appraised by Ray Esparsen 10/10/98 $200",67,151574blue,151574blue.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/151574blue.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/151574blue_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/151574blue_th.jpg
