objectid,title,artist,date,description,building,floorroom,location,formatoriginal,dimensions,type,format,value,donor,condition,number,old_objectid,filename,Missing?,display_template,object_location,image_small,image_thumb
campusart001,Senator Borah [1],Paul Phillips,1940,Portrait painting of Senator William Edgar Borah displayed in a decorative gilt wooden frame.,Student Union,2nd floor,Student Union 2nd floor,oil on canvas,"36"" x 31"" framed",image;stillimage,image/jpg,,Salmon O. Levinson,canvas is buckling in upper left corner,238,43592,043592.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/043592.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/043592_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/043592_th.jpg
campusart002,Theophilus outstanding senior award,Gorham Silver,,Inscribed silver bowl displayed with an inscription plaque and encased under a plexiglass cover.,Commons,rm 404,Commons rm 404,silver bowl,"10"" high, 16"" across",image;stillimage,image/jpg,"2,500",,good,236,44296,044296.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/044296.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/044296_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/044296_th.jpg
campusart003,Joe Vandal,George Roberts,,Sculpture of Joe Vandal made of welded and brazed metal and polychromed shield.,Student Union,main staircase,Student Union main staircase,sculpture,"96"" x 36"" x 24""",image;stillimage,image/jpg,600,,good,237,44299,044299.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/044299.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/044299_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/044299_th.jpg
campusart004,Chief Joseph,Howard Cook,1964,Portrait painting of Chief Joseph displayed in a wood frame with silver gilt inner trim. Painting is signed by artist.,Student Union,Chiefs Room rm 205,Student Union Chiefs Room rm 205,oil on canvas,"50.25"" x 32.25"" framed",image;stillimage,image/jpg,600,Carl P. Clare and Robert Hansberger,good,113,44403,044403.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/044403.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/044403_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/044403_th.jpg
campusart005,Chief Lawyer,Howard Cook,1964,Portrait painting of Chief Lawyer displayed in a brown wood frame with a silver metal inner trim.,Student Union,Chiefs Room rm 205,Student Union Chiefs Room rm 205,oil on canvas,"50.25"" x 32.25"" framed",image;stillimage,image/jpg,600,Carl P. Clare and Robert Hansberger,good,114,44404,044404.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/044404.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/044404_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/044404_th.jpg
campusart006,Dr. Donald R. Theophilus,Mary Kirkwood,1965,Portrait painting of Dr. Donald R. Theophilus displayed in a gilt wood frame with inscription plaque.,Commons,rm 404,Commons rm 404,oil on canvas,"53.5"" x 40.5"" framed",image;stillimage,image/jpg,"1,000",,"frame chipped at corners, linen trim stained",189,45656,045656.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/045656.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/045656_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/045656_th.jpg
campusart007,Permeal Jane French,Cope,1938,Portrait painting of Permeal Jane French displayed in a decorative gilt frame with inscription plaque,Student Union,rm 210,Student Union rm 210,Oil on canvas,"54"" x 39.5"" framed",image;stillimage,image/jpg,500,,"some cracking in paint, lower right corner",188,45657,045657.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/045657.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/045657_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/045657_th.jpg
campusart008,Girl in the Light,Mary Kirkwood,1967,Painting depicting a girl sitting beneath a window in the light. The painting is framed in black lathe moulding.,Student Union,2nd floor,Student Union 2nd floor,oil on canvas,"57"" x 47"" framed",image;stillimage,image/jpg,400,,good,239,45658,045658.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/045658.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/045658_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/045658_th.jpg
campusart009,Untitled by Brian Thomas,Brian Thomas,,Sculpture carved from a single piece of wood into oblong shapes.,Student Union,Basement Mech room 054,Student Union Basement Mech room 054,"sculpture,carved wood","80"" x 14"" x 14""",image;stillimage,image/jpg,300,,some scratches in the finish,139,45660,045660.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/045660.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/045660_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/045660_th.jpg
campusart010,Sculpture #55,Unknown,,Metal sculpture of abstract black and yellow forms reminiscent of an ear piece.,Student Union,Gold/Silver Mech rm 208,Student Union Gold/Silver Mech rm 208,metal,"84"" x 54""",image;stillimage,image/jpg,350,,good,650,45661,045661.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/045661.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/045661_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/045661_th.jpg
campusart011,"Untitled ""Soldier Canyon""",Walter H. McIntosh,1886,"Painting depicting soldiers on horses in Lapwai, Idaho.",Library,special collections rm 008,Library special collections rm 008,oil on canvas,"34"" x 31""",image;stillimage,image/jpg,,Walter H. McIntosh,good,48,048431_ALSO_TAG_112504,048431_ALSO_TAG_112504.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/048431_ALSO_TAG_112504.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/048431_also_tag_112504_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/048431_also_tag_112504_th.jpg
campusart012,Jerome J. Day,,,Portrait painting of Jerome J. Day in a brown suit with a library in the background.,Library,special collections rm 004C pillar #7,Library special collections rm 004C pillar #7,drawing/pastel,"24"" x 20.5""",image;stillimage,image/jpg,,Lucy Mix Day,good,64,48505,048505.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/048505.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/048505_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/048505_th.jpg
campusart013,Lucy Mix Day,Erna Bert Nelsen,,Portrait painting of Lucy Mix Day.,Library,special collections rm 004C pillar #7,Library special collections rm 004C pillar #7,oil on canvas,"24"" x 20.5""",image;stillimage,image/jpg,,Lucy Mix Day,good,63,48506,048506.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/048506.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/048506_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/048506_th.jpg
campusart014,Untitled by Waddell,Waddell,1977,Metal triangular sculpture with a concrete base.,Outdoor,Admin lawn,Outdoor Admin lawn,sculpture steel,"192"" x 16"" x 16""",image;stillimage,image/jpg,"2,000",,some scratches and patina,240,94663,094663.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/094663.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/094663_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/094663_th.jpg
campusart015,Untitled by Harold Balazs,Harold Balazs,1978,Metal sculpture made out of steel and mounted onto concrete.,Outdoor,Hartung Theatre north of entrance,Outdoor Hartung Theatre north of entrance,sculpture steel,"74.5"" x 35.5"" x 7""",image;stillimage,image/jpg,825,,good,625,94664,094664.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/094664.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/094664_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/094664_th.jpg
campusart016,"Kendrick, ID",Ann Driscoll,,"Landscape painting depicting buildings, trees, hills, and mountain in the background.",Library,special collections rm 004C pillar #3,Library special collections rm 004C pillar #3,oil on canvas,"25"" x 28""",image;stillimage,image/jpg,,Ann Driscoll,,55,110601,110601.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/110601.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/110601_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/110601_th.jpg
campusart017,"Jansville, ID",Ann Driscoll,,Landscape painting of two buildings in the front and trees in the background.,Library,special collections rm 004C pillar #3,Library special collections rm 004C pillar #3,oil on canvas,"20"" x 24""",image;stillimage,image/jpg,,Ann Driscoll,,57,110602,110602.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/110602.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/110602_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/110602_th.jpg
campusart018,"Blaine, ID",Ann Driscoll,,Landscape painting buildings and a church along a road. A few trees line the road.,Library,special collections rm 004C pillar #5,Library special collections rm 004C pillar #5,oil on canvas,"33"" x 38""",image;stillimage,image/jpg,,Ann Driscoll,,58,110603,110603.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/110603.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/110603_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/110603_th.jpg
campusart019,"Lenville, ID",Ann Driscoll,,Painting depicting a road with trees and building alongside it.,Library,special collections rm 004C pillar #5,Library special collections rm 004C pillar #5,oil on canvas,"26"" x 32""",image;stillimage,image/jpg,,Ann Driscoll,,54,110604,110604.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/110604.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/110604_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/110604_th.jpg
campusart020,"Depot at Wallace, ID",Ann Driscoll,,"Painting depicting a brown railway depot in Wallace, Idaho. It is set against a backdrop of trees and mountains.",Library,special collections rm 004C pillar #3,Library special collections rm 004C pillar #3,oil on canvas,"22"" x 28""",image;stillimage,image/jpg,,,,51,110605,110605.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/110605.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/110605_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/110605_th.jpg
campusart021,"Nora, ID",Ann Driscoll,,"Painting depicting roads with white buildings and various red, yellow, and green trees.",Library,special collections rm 004C pillar #3,Library special collections rm 004C pillar #3,oil on canvas,"30"" x 36""",image;stillimage,image/jpg,,,,52,110606,110606.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/110606.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/110606_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/110606_th.jpg
campusart022,"Helmer, ID",Ann Driscoll,,Painting depicting a few brown buIdaholings  and a small white building on the right. Trees surround the buildings and the background of the painting.,Library,special collections rm 004C pillar #3,Library special collections rm 004C pillar #3,oil on canvas,"30"" x 36""",image;stillimage,image/jpg,,,,49,110607,110607.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/110607.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/110607_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/110607_th.jpg
campusart023,Martin Farm by Marion Featherstone,Marion Featherstone,,Landscape painting depicting green fields and hills. A river runs through the foreground. A red barn sits on the right and a few smaller white and gray buildings are on the left and center.,Admin-Martin Institute,rm 338D,Admin-Martin Institute rm 338D,oil on canvas,"28"" x 38""",image;stillimage,image/jpg,250,,good,109,111184,111184.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/111184.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/111184_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/111184_th.jpg
campusart024,Grace Martin,John Collias,,Portrait drawing of Grace Martin done in graphite. The drawing is matted and framed in a thin gilt wood frame.,Admin-Martin Institute,rm 338D,Admin-Martin Institute rm 338D,graphite drawing,"26.5"" x 21.5"" framed",image;stillimage,image/jpg,500,John Collias,good,110,111185,111185.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/111185.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/111185_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/111185_th.jpg
campusart025,Boyd Martin,John Collias,,Portrait drawing of Boyd Martin done in graphite. The drawing is matted and framed in a thin gilt wood frame.,Admin-Martin Institute,rm 338D,Admin-Martin Institute rm 338D,graphite drawing,"26.5"" x 21.5"" framed",image;stillimage,image/jpg,500,John Collias,good,111,111186,111186.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/111186.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/111186_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/111186_th.jpg
campusart026,Senator Borah [2],Paul Phillips,,Portrait painting of Senator William Edgar Borah displayed in a gold leaf frame.,Law Building,Department office,Law Building Department office,painting,"31"" x 36""",image;stillimage,image/jpg,500,Senator McClure,good,267,111251,111251.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/111251.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/111251_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/111251_th.jpg
campusart027,Danae,Lorish Sloan,,"Painting depicting a brown railway depot in Wallace, ID. It is set against a backdrop of trees and mountains.",Library,special collections rm 004C pillar #7,Library special collections rm 004C pillar #7,oil on linen,"23"" x 30"" x 3.5""",image;stillimage,image/jpg,,,,75,112503,112503.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/112503.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/112503_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/112503_th.jpg
campusart028,Idaho book,Gorham Company,1893,"Book with an engraved image of a building and other patterns on its cover. The piece is designed by Anne Bowman and made of silver, gold, opals, and rubies.",Admin,President's office,Admin President's office,book/box,"9"" x 7.5"" x 1.75""",image;stillimage,image/jpg,"42,000",Ladies' Columbian Association of Moscow,"small pit on surface plaque, small tear in seam",179,112507,112507.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/112507.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/112507_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/112507_th.jpg
campusart029,Winter on the lake,Marie Whitesel,,Painting depicting a snowy landscape with a few snow covered trees displayed in a dark brown wood frame with a green trim. The painting is also matted in light blue.,Admin,rm 209C,Admin rm 209C,watercolor,"20.5"" x 26.5"" framed, 13.5"" x 20"" Image",image;stillimage,image/jpg,500,Marie Whitesel,good,162,112586,112586.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/112586.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/112586_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/112586_th.jpg
campusart030,"Bovill, ID",Ann Driscoll,,Painting depicting red and white buildings on the foreground against a background of trees and mountain.,Library,special collections rm 004C pillar #3,Library special collections rm 004C pillar #3,oil on canvas,"30"" x 46""",image;stillimage,image/jpg,,Ann Driscoll,,62,112594,112594.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/112594.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/112594_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/112594_th.jpg
campusart031,"Howell, ID",Ann Driscoll,,Painting depicting a landscape with a few houses in a yellow field with green trees and mountain in the background.,Library,special collections rm 004C pillar #5,Library special collections rm 004C pillar #5,oil on canvas,"22"" x 36""",image;stillimage,image/jpg,,Ann Driscoll,,59,112595,112595.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/112595.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/112595_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/112595_th.jpg
campusart032,"Joel, ID",Ann Driscoll,1980,Painting depicting houses and buildings on yellow-green hills. A railway is in the foreground and trees are in the background.,Library,special collections rm 004C pillar #5,Library special collections rm 004C pillar #5,oil on canvas,"24"" x 30""",image;stillimage,image/jpg,,Ann Driscoll,,50,112596,112596.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/112596.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/112596_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/112596_th.jpg
campusart033,Untitled by Ann Driscoll,Ann Driscoll,,Landscape paintings of white and brown buildings on a hillside.,Library,special collections rm 004C pillar #5,Library special collections rm 004C pillar #5,oil on canvas,"18"" x 28""",image;stillimage,image/jpg,,,,56,112597,112597.bmp,,image,https://www.lib.uidaho.edu/digital/objects/campusart/112597.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/small/112597_sm.jpg,https://www.lib.uidaho.edu/digital/objects/campusart/thumbs/112597_th.jpg
